"","Treat","HC","C7","PT","Rep","Block","Day","Adtot","Nymtot","Poptot","propcol","adtop","nymtop","addist","nymdist","centtot","centprop","totinf","propinf"
"143","HCHC",2,0,0,5,2,2,11,141,152,0.888888889,0.818181818,0.936170213,19.06181818,7.753475177,103,0.677631579,9,1
"144","HCC7",1,1,0,5,2,2,2,20,22,0.666666667,0.5,0.7,24.14,22.968,2,0.090909091,5,0.555555555555556
"145","HCPT",1,0,1,5,2,2,16,160,176,0.777777778,1,0.8125,8.8375,3.54775,148,0.840909091,9,1
"146","C7C7",0,2,0,5,2,2,17,135,152,0.666666667,0.941176471,1,5.68,1.159703704,141,0.927631579,5,0.555555555555556
"147","C7PT",0,1,1,5,2,2,18,148,166,0.666666667,1,0.986486486,9.157777778,5.345135135,124,0.746987952,9,1
"148","PTPT",0,0,2,5,2,2,28,177,205,0.777777778,0.928571429,0.892655367,15.39571429,7.314350282,139,0.67804878,8,0.888888888888889
"149","Control",0,0,0,6,2,2,21,134,155,0.444444444,0.904761905,0.835820896,3.80952381,2.871940299,133,0.858064516,3,0.333333333333333
"150","HCHC",2,0,0,6,2,2,14,118,132,0.888888889,1,0.974576271,14.38571429,2.595254237,112,0.848484848,9,1
"151","HCHC",2,0,0,6,2,2,14,118,132,0.888888889,1,0.974576271,14.38571429,2.595254237,112,0.848484848,9,1
"152","HCC7",1,1,0,6,2,2,18,119,137,0.666666667,1,0.991596639,11.64888889,4.225210084,108,0.788321168,9,1
"153","HCPT",1,0,1,6,2,2,24,113,137,0.666666667,1,0.734513274,6.868333333,4.773097345,108,0.788321168,5,0.555555555555556
"154","C7C7",0,2,0,6,2,2,8,22,30,1,1,1,25.175,25.11272727,1,0.033333333,5,0.555555555555556
"155","C7PT",0,1,1,6,2,2,5,39,44,0.666666667,1,0.282051282,24.968,4.014358974,32,0.727272727,8,0.888888888888889
"156","PTPT",0,0,2,6,2,2,26,207,233,0.888888889,0.884615385,0.748792271,17.03076923,8.690048309,147,0.630901288,8,0.888888888888889
"157","C7PT",0,1,1,7,2,2,14,109,123,0.888888889,1,0.972477064,11.52857143,4.473761468,98,0.796747967,8,0.888888888888889
"158","PTPT",0,0,2,7,2,2,23,145,168,0.777777778,1,0.84137931,5.427826087,1.584,154,0.916666667,8,0.888888888888889
"159","HCPT",1,0,1,7,2,2,18,92,110,0.666666667,0.833333333,0.826086957,10.07777778,4.250869565,88,0.8,4,0.444444444444444
"160","Control",0,0,0,1,2,4,22,305,327,1,0.727272727,0.790163934,23.98363636,11.31829508,169,0.516819572,8,0.888888888888889
"161","HCHC",2,0,0,1,2,4,7,138,145,1,0.714285714,0.855072464,27.09714286,16.85304348,42,0.289655172,9,1
"162","HCC7",1,1,0,1,2,4,4,95,99,0.888888889,1,0.505263158,19.14,11.75452632,53,0.535353535,8,0.888888888888889
"163","HCPT",1,0,1,1,2,4,11,126,137,1,1,0.920634921,19.06181818,15.90222222,52,0.379562044,8,0.888888888888889
